State,Consumption_in_gallons,state
Alabama,30.2,AL
Alaska,28.7,AK
Arizona,29.5,AZ
Arkansas,26.7,AR
California,25.5,CA
Colorado,30,CO
Connecticut,22,CT
Delaware,33.6,DE
Florida,27.4,FL
Georgia,25.7,GA
Hawaii,30.4,HI
Idaho,27.8,ID
Illinois,29.1,IL
Indiana,25.9,IN
Iowa,33.6,IA
Kansas,28.3,KS
Kentucky,24.4,KY
Louisiana,33.9,LA
Maine,34,ME
Maryland,23.2,MD
Massachusetts,26.2,MA
Michigan,26.8,MI
Minnesota,28.5,MN
Mississippi,33.9,MS
Missouri,31,MO
Montana,41,MT
Nebraska,35.2,NE
Nevada,35.8,NV
New Hampshire,43.9,NH
New Jersey,22.4,NJ
New Mexico,32.4,NM
New York,22.4,NY
North Carolina,27.1,NC
North Dakota,45.8,ND
Ohio,30.1,OH
Oklahoma,28.3,OK
Oregon,30.3,OR
Pennsylvania,28.6,PA
Rhode Island,26.3,RI
South Carolina,32.7,SC
South Dakota,38.9,SD
Tennessee,26.2,TN
Texas,34.4,TX
Utah,20.2,UT
Vermont,35.3,VT
Virginia,26.7,VA
Washington,24.8,WA
West Virginia,30.3,WV
Wisconsin,36.2,WI
Wyoming,33,WY
