styles,parent
Ale,
Mixed Styles,
Lager,
American Lager,Lager
American Wild Ale,Ale
Belgian / French Ale,Ale
Brown Ale,Ale
European Lager,Lager
German Ale,Ale
German Lager,Lager
German Lager ,Lager
Irish Ale,Ale
Lambic & Sour Ale,Ale
Other,Mixed Styles
Pale Ale,Ale
Pilsner,Lager
Porter,Ale
Stout,Ale
Wheat beer,Ale
American Adjunct Lager,American Lager
American Pale Ale,Pale Ale
American Pale Lager,American Lager
American Wheat,Wheat beer
Belgian Dark Ale,Belgian / French Ale
Belgian Pale Ale,Belgian / French Ale
Bock,German Lager
English Pale Ale,Pale Ale
Imperial Stout,Stout
India Pale Ale,Pale Ale
Irish Stout,Stout
Munich Lager,German Lager
Strong Pale Ale,Pale Ale
Weissbier,German Ale
Belgian Abbey / Trappist,Belgian Pale Ale
Belgian Strong Dark Ale,Belgian Dark Ale
Belgian Strong Pale Ale,Belgian Pale Ale
Abbey Single Ale,Belgian Abbey / Trappist
Altbier,Other
American Amber / Red Ale,American Pale Ale
American Amber / Red Lager,American Lager
American Barleywine,Other
American Black Ale,India Pale Ale
American Blonde Ale,American Pale Ale
American Brown Ale,Brown Ale
American Dark Wheat Ale,Wheat beer
American Double / Imperial IPA,India Pale Ale
American Double / Imperial Pilsner,Pilsner
American Double / Imperial Stout,Stout
American India Pale Lager,American Pale Lager
American IPA,India Pale Ale
American Malt Liquor,American Adjunct Lager
American Pale Ale (APA),Pale Ale
American Pale Wheat Ale,American Wheat
American Pilsner,Pilsner
American Porter,Porter
American Stout,Stout
American Strong Ale,Strong Pale Ale
American White IPA,India Pale Ale
Baltic Porter,Porter
Belgian IPA,Belgian Pale Ale
Berliner Weissbier,Weissbier
Biere de Garde,Belgian / French Ale
Braggot,Other
California Common / Steam Beer,Other
Chile Beer,Other
Cider,Other
Cream Ale,Other
Czech Pilsener,Pilsner
Doppelbock,Bock
Dortmunder / Export Lager,German Lager
Dubbel,Belgian Strong Dark Ale
Dunkelweizen,Weissbier
English Barleywine,Other
English Bitter,Pale Ale
English Brown Ale,Brown Ale
English Dark Mild Ale,Brown Ale
English India Pale Ale (IPA),India Pale Ale
English Pale Mild Ale,Pale Ale
English Stout,Stout
English Strong Ale,Strong Pale Ale
Euro Dark Lager,European Lager
Euro Pale Lager,European Lager
Extra Special / Strong Bitter (ESB),English Pale Ale
Flanders Oud Bruin,Belgian / French Ale
Flanders Red Ale,Belgian / French Ale
Foreign / Export Stout,Stout
Fruit / Vegetable Beer,Lambic & Sour Ale
German Pilsener,Pilsner
Gose,Lambic & Sour Ale
Grisette,Belgian / French Ale
Hefeweizen,Weissbier
Herbed / Spiced Beer,Other
Irish Dry Stout,Irish Stout
Irish Red Ale,Irish Ale
Kolsch,Other
Keller Bier / Zwickel Bier,German Lager
Kristalweizen,Weissbier
Light Lager,American Lager
Low Alcohol Beer,American Adjunct Lager
Marzen / Oktoberfest,German Lager
Maibock / Helles Bock,Bock
Mead,Other
Milk / Sweet Stout,Stout
Munich Dunkel Lager,Munich Lager
Munich Helles Lager,Munich Lager
Oatmeal Stout,Stout
Old Ale,Strong Pale Ale
Pumpkin Ale,American Wild Ale
Quadrupel (Quad),Belgian Strong Dark Ale
Radler,Other
Rauchbier,German Lager
Roggenbier,German Ale
Russian Imperial Stout,Imperial Stout
Specialty Grain - Other,Other
Saison / Farmhouse Ale,Belgian / French Ale
Schwarzbier,German Lager
Scotch Ale / Wee Heavy,Strong Pale Ale
Scottish Ale,Strong Pale Ale
Shandy,Other
Smoked Beer,Other
Tripel,Belgian Strong Pale Ale
Vienna Lager,German Lager 
Wheat Ale,Wheat beer
Winter Warmer,Other
Witbier,Belgian / French Ale
