,State,Consumption (gallons),state
0,Alabama,30.2,AL
1,Alaska,28.7,AK
2,Arizona,29.5,AZ
3,Arkansas,26.7,AR
4,California,25.5,CA
5,Colorado,30,CO
6,Connecticut,22,CT
7,Delaware,33.6,DE
8,Florida,27.4,FL
9,Georgia,25.7,GA
10,Hawaii,30.4,HI
11,Idaho,27.8,ID
12,Illinois,29.1,IL
13,Indiana,25.9,IN
14,Iowa,33.6,IA
15,Kansas,28.3,KS
16,Kentucky,24.4,KY
17,Louisiana,33.9,LA
18,Maine,34,ME
19,Maryland,23.2,MD
20,Massachusetts,26.2,MA
21,Michigan,26.8,MI
22,Minnesota,28.5,MN
23,Mississippi,33.9,MS
24,Missouri,31,MO
25,Montana,41,MT
26,Nebraska,35.2,NE
27,Nevada,35.8,NV
28,New Hampshire,43.9,NH
29,New Jersey,22.4,NJ
30,New Mexico,32.4,NM
31,New York,22.4,NY
32,North Carolina,27.1,NC
33,North Dakota,45.8,ND
34,Ohio,30.1,OH
35,Oklahoma,28.3,OK
36,Oregon,30.3,OR
37,Pennsylvania,28.6,PA
38,Rhode Island,26.3,RI
39,South Carolina,32.7,SC
40,South Dakota,38.9,SD
41,Tennessee,26.2,TN
42,Texas,34.4,TX
43,Utah,20.2,UT
44,Vermont,35.3,VT
45,Virginia,26.7,VA
46,Washington,24.8,WA
47,West Virginia,30.3,WV
48,Wisconsin,36.2,WI
49,Wyoming,33,WY
