brewery_name,style,rating
Brewery Vivant,62,4.7
Oskar Blues Brewery,44,4.6
Sun King Brewing Company,38,4.6
Cigar City Brewing Company,25,4.5
Sixpoint Craft Ales,24,4.5
Hopworks Urban Brewery,23,4.4
Stevens Point Brewery,22,4.7
Great Crescent Brewery,20,4.7
21st Amendment Brewery,20,4.3
Bonfire Brewing Company,19,4.8
SanTan Brewing Company,19,4.5
Anderson Valley Brewing Company,18,4.7
Upslope Brewing Company,18,4.7
Great River Brewery,18,4.6
Tallgrass Brewing Company,18,4.5
New Belgium Brewing Company,17,4.7
Sockeye Brewing Company,17,4.5
Rivertowne Brewing Company,15,4.6
Golden Road Brewing,15,4.5
Southern Star Brewing Company,14,4.8
18th Street Brewery,14,4.5
Blue Blood Brewing Company,14,4.4
Caldera Brewing Company,14,4.4
Matt Brewing Company,13,4.6
Sly Fox Brewing Company,13,4.6
Surly Brewing Company,13,4.6
Minhas Craft Brewery,13,4.5
Against the Grain Brewery,13,4.4
Spiteful Brewing Company,12,4.7
Big Sky Brewing Company,12,4.6
